allele,chrom,phenotype,source,isolation name,notes,gene,mutagen,qualifiers
vs100,X,,CGC,,328 bp deletion which completely removes exon 8 and 9. ,dop-1,TMP/UV,
ad418,X,,Avery,,held in DA510,aex-3,,
ad427,IV,,Avery,,held in DA531,eat-1,,
ad446,,"Cat, serotonin minus",Garriga/Avery,,held in MT3239,bas-1,,
ad465,II,,Avery,,held in DA465,eat-2,,
ar147,,,,,,,,
arDf1,V,,Simon Tuck,,"complements sma-1, him-5, mes-4, and par-1.  Fails to complement vab-8, sqt-3, lon-3, rol-4, and lin-25.  arDf1 was generated by irradiating unc-42(e270) sqt-3(sc63) hermaphs, crossed to lon-3 males and picked Lon nonRol F1s at 25°. ",,gamma ray,
b1,II,,,,,zyg-1,,"ts,mm"
b2,II,,,,,zyg-11,,"ts,mm"
b10,I,,,,,zyg-2,,"ts,mm"
b18,II,,,,,zyg-3,,"ts,sd,mm"
b26,II,"ts sperm defect; when grown at 25C spermatids fail to activate into spermatozoa; self-fertility <1% at 25C,  100% at 15C.  ",AWP/CGC,,,fer-15,,
b64,III,,,,,emb-7,,ts
b84,I,,,,,emb-6,,ts
b89,II,,,,,zyg-5,,"ts,nm"
b117,III,,,,aka clb-2,emb-9,,ts
b151,I,,,,,lin-27,,"ts,mat,mn"
b187,III,,,,,zyg-7,,"ts,mn"
b189,III,,,,aka clb-2,emb-9,,ts
b202,II,,,,,tra-2,,ts
b232,I,,,,,fer-1,,
b235,III,,,,,zyg-8,,"ts,mnp"
b238,V,,,,,rol-4,,ts
b244,II,,,,,zyg-9,,"ts,mm"
b245,III,,,,,fem-2,,ts
b246,X,,,,,let-2,,
b261,III,,,,,zyg-10,,"ts,mn?"
b281,II,,,,held in KK40,mel-3,,
b314,II,,,,held in KK37,mel-5,,
b401,IV,,,,,cha-1,,ts
b402,,,,,,,,
b404,I,,,,,unc-63,,
cc##,,,andy fire,,coinjection of sup-7 and unc-54::lacz fusion into tra-3(e1107am)IV,,,
cc228,V,"dominant twitcher, lacZ expressed in pharyngeal muscle cells",A Fire via M Metzstein,,"Integrated array of pPD10.46 (unc-22 antisense), pPD 20.97 (myo-2::lac-Z) ",,,
ccDf2,II,,,,Df for dpy-25,,,
ccDf4,II,,,,Df for dpy-25,,,
ccDf5,II,,,,Df for dpy-25,,,
cg11,,,Geng,,held in CH11,,,
ct16,V,,,,,dpy-21,,
ct33,V,,,,,vab-8,,
ct41,III,,,,"C>T mutation, introducing amber in exon 3. severely truncated, protein should be null
tat Cag aat > tat Tag aat ",mig-10,EMS,
ct73,V,,,,held in BW530,mig-3,,
ct78,III,,,,held in BW406,mig-11,,
ctDp6,III; f,,,,,,,
ctDp8,V; f,,,,,,,
d364,,,,,,,,
dc2,II,,,,,ace-3,,
dc3,II,,,,,ace-3,,
e1,III,,sb,,,dpy-1,ems,
